"HYBAS_ID","Australasian.Darter","Australian.Pelican","Grey.Teal","Intermediate.Egret","Australasian.Grebe","Azure.Kingfisher","Caspian.Tern","Eastern.Reef.Egret","Green.Pygmy.goose","Lesser.Crested.Tern","Little.Egret","Little.Tern","Nankeen.Night.Heron","Pacific.Black.Duck","Pied.Cormorant","Pied.Heron","Pink.eared.Duck","Royal.Spoonbill","Striated.Heron","Wandering.Whistling.Duck","Whiskered.Tern","White.necked.Heron","Yellow.billed.Spoonbill","White.winged.Black.Tern","Hardhead","Little.Pied.Cormorant","Little.Black.Cormorant","Great.billed.Heron","Black.Swan","Chestnut.Teal","Radjah.Shelduck","Dusky.Moorhen","Eurasian.Coot","Great.Cormorant","Hoary.headed.Grebe","Magpie.Goose","Black.Bittern","Little.Kingfisher","White.browed.Crake","Cotton.Pygmy.goose","Northern.Mallard","Australasian.Shoveler","Australasian.Bittern","Agricultural_Water_Stress","Aquaculture_Pressure","Consumptive_Water_Loss","Cropland","Fishing_Pressure","Human_Water_Stress","Impervious_Surfaces","Livestock_Density","Mercury_Deposition","Nitrogen_Loading","Organic_Loading","Pesticide_Loading","Phosphorus_Loading","Potential_Acidification","Sediment_Loading","Soil_Salinisation","Thermal_Alteration","Wetland_Disconnectivity","ele_mt_sav","tmp_dc_syr","pre_mm_syr","ire_pc_sse","X","Y"
5080069740,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0.858200013637543,0.276699990034103,0.6564000248909,0.411199986934662,0.109899997711182,0.654900014400482,0.227400004863739,0.194399997591972,0.943599998950958,0.533900022506714,0.501900017261505,0.861299991607666,0.606500029563904,0,0.504000008106232,0,0,0.511699974536896,220,210,924,0,151.247370250549,-24.3326656740797
5080069750,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.685300007462502,0.426299996674061,0.588500007987022,0.287499997764826,0.0998999997973442,0.679425001144409,0.454425007104874,0.0647999991973241,0.876925006508827,0.211625008145347,0.43792499601841,0.778174996376038,0.595049999654293,0.123075000941753,0.479849997907877,0.0826499983668327,0.488525003194809,0.418299995362759,35,222,1115,0,151.705763824554,-24.1713349050019
5080069860,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693000018596649,0.422500014305115,0.375800013542175,0.292899996042252,0.289700001478195,0.572499990463257,0.271200001239777,0.194399997591972,0.899200022220612,0.304300010204315,0.423000007867813,0.811900019645691,0.524999976158142,0,0.472900003194809,0,0.527199983596802,0.2466000020504,106,215,1100,0,151.699777267121,-24.4714715982478
5080069870,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780050009489059,0.33304999768734,0.847299993038177,0.348450005054474,0.0350500009953976,0.771200001239777,0.455400004982948,0.0971999987959862,0.93164998292923,0.00414999993517995,0.513049989938736,0.900499999523163,0.657299995422363,0.246150001883507,0.607349991798401,0.165299996733665,0.710750013589859,0.2119500041008,41,216,1089,5,152.058869330756,-24.6573583703984
5080069920,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0.6632000207901,0.49210000038147,0.876699984073639,0.268200010061264,0,0.816299974918365,0.662400007247925,0,0.954999983310699,0.0082999998703599,0.560899972915649,0.937399983406067,0.783399999141693,0.492300003767014,0.698499977588654,0.330599993467331,0.706300020217896,0.423900008201599,13,217,1101,33,152.282922884336,-24.7519645705945
5080069960,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734366675217946,0.364300002654393,0.828499992688497,0.27476666867733,0.0982666648924351,0.724733332792918,0.402933339277903,0.125800003608068,0.954666654268901,0.0067999999349316,0.558933317661285,0.875133335590363,0.670733332633972,0.164100001255671,0.687799990177155,0.244699994723002,0.526400009791056,0.213000004490217,69,212,1029,21,152.105887849919,-25.0130519794865
5080069970,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.6632000207901,0.49210000038147,0.876699984073639,0.268200010061264,0,0.816299974918365,0.662400007247925,0,0.954999983310699,0.0082999998703599,0.560899972915649,0.937399983406067,0.783399999141693,0.492300003767014,0.698499977588654,0.330599993467331,0.706300020217896,0.423900008201599,15,216,1112,35,152.444418679644,-24.8437813318047
5080069990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736800014972687,0.324550002813339,0.9028500020504,0.255550004541874,0.0295499991625547,0.806549996137619,0.505450010299683,0.0943500027060509,0.949449986219406,0.00414999993517995,0.592149972915649,0.834349989891052,0.68215000629425,0.246150001883507,0.680049985647202,0.165299996733665,0.789600014686584,0.319500006735325,38,214,1072,32,152.331784842329,-24.9798922859048
5080070010,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70770001411438,0.229300007224083,0.495800010859966,0.191500000655651,0.11849999986589,0.825150012969971,0.468400001525879,0.188700005412102,0.905499994754791,0,0.56784999370575,0.562849998474121,0.401250004768372,0.404100000858307,0.606399983167648,0,0.492650005966425,0.303600005805492,18,215,1095,7,152.459971389623,-25.0828647470801
5080070020,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605000019073486,0.301600009202957,0.0626000016927719,0.140100002288818,0.17790000140667,0.853500008583069,0.588299989700317,0.188700005412102,0.86710000038147,0,0.51230001449585,0.394400000572205,0.221599996089935,0.808200001716614,0.551199972629547,0,0.112400002777576,0.392100006341934,5,216,1125,0,152.591153364079,-25.1407568461215
